fund,date,gross_return,net_return
Combined Minimum Variance,2023-07-17,-0.004330003531011057,-0.004330003531011095
Combined Minimum Variance,2023-07-18,0.003131296720093005,0.0031312967200929354
Combined Minimum Variance,2023-07-19,0.004401847267842364,0.004401847267842429
Combined Minimum Variance,2023-07-20,0.007971705739886845,0.007971705739886925
Combined Minimum Variance,2023-07-21,0.0073686871946950045,0.007368687194694967
Combined Minimum Variance,2023-07-24,-0.003310889237668332,-0.003310889237668313
Combined Minimum Variance,2023-07-25,0.0005361632373319594,0.0005361632373319658
Combined Minimum Variance,2023-07-26,0.002406961457271433,0.0024069614572714837
Combined Minimum Variance,2023-07-27,-0.005117762611293454,-0.005117762611293486
Combined Minimum Variance,2023-07-28,0.004564396253481124,0.004564396253481151
Combined Minimum Variance,2023-07-31,-0.002477366747122061,-0.0024773667471220673
Combined Minimum Variance,2023-08-01,-0.008334991563258233,-0.008339099606965883
Combined Minimum Variance,2023-08-02,-0.009969627182313541,-0.009969627182313534
Combined Minimum Variance,2023-08-03,-0.003471666222014457,-0.0034716662220144467
Combined Minimum Variance,2023-08-04,-0.004080320889606351,-0.004080320889606304
Combined Minimum Variance,2023-08-07,0.011137335638164604,0.011137335638164547
Combined Minimum Variance,2023-08-08,-0.004493038194106375,-0.004493038194106402
Combined Minimum Variance,2023-08-09,0.001360887601161862,0.0013608876011619309
Combined Minimum Variance,2023-08-10,-0.0010034842476864434,-0.0010034842476864814
Combined Minimum Variance,2023-08-11,0.006281142349326035,0.006281142349326085
Combined Minimum Variance,2023-08-14,-0.0023918538739526917,-0.0023918538739526873
Combined Minimum Variance,2023-08-15,-0.00841797257755384,-0.008417972577553834
Combined Minimum Variance,2023-08-16,-0.003936055774962066,-0.003936055774962033
Combined Minimum Variance,2023-08-17,-0.009601196434950748,-0.00960119643495072
Combined Minimum Variance,2023-08-18,0.0015991256189054298,0.001599125618905406
